class,filename,height,width,xmax,xmin,ymax,ymin
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1754,1724,566,502
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1364,1339,631,601
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,2098,2003,553,444
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,2001,1904,883,736
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,1834,1765,1045,1007
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,1281,1196,906,854
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,1801,1740,567,508
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,1626,1558,505,415
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,203,161,642,593
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,662,604,310,247
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,1575,1525,761,718
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,2013,1924,622,532
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,958,914,715,663
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,1542,1481,630,553
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,654,613,398,355
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,908,852,667,615
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,341,302,744,709
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,985,931,921,844
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,982,940,670,596
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,841,787,320,273
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,648,605,559,517
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,968,897,129,59
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,1710,1687,814,786
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,674,637,874,835
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,1250,1218,666,628
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,640,574,1077,1049
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,540,503,989,933
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,1195,1134,572,536
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,527,481,904,848
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-02 13-45-00-05_cam7.jpg,1080,1920,1175,1149,800,754
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,864,819,581,529
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1380,1343,240,201
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1687,1651,451,380
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1213,1129,400,330
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,263,206,981,953
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,258,215,161,114
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,408,375,926,883
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1106,1053,607,552
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,773,733,708,669
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,437,381,772,696
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,778,706,522,467
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,987,948,925,890
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,203,168,246,193
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1913,1839,603,534
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,163,131,487,448
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1283,1236,706,655
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1309,1248,242,172
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1781,1755,1061,1030
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1627,1585,850,792
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1602,1563,994,912
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1780,1746,724,676
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1109,1066,109,51
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1546,1515,845,803
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1883,1827,604,519
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1918,1859,930,841
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1237,1194,310,268
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1270,1243,421,394
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-04-30 14-30-00-05_cam10.jpg,1440,2560,1670,1599,416,328
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-04-30 14-30-00-05_cam10.jpg,1440,2560,1957,1904,1223,1174
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-04-30 14-30-00-05_cam10.jpg,1440,2560,733,633,938,849
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-04-30 14-30-00-05_cam10.jpg,1440,2560,1808,1735,240,143
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-04-30 14-30-00-05_cam10.jpg,1440,2560,736,699,1213,1176
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-04-30 14-30-00-05_cam10.jpg,1440,2560,1857,1803,163,112
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-03 11-15-00-05_cam9.jpg,1080,1920,752,682,905,841
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-03 11-15-00-05_cam9.jpg,1080,1920,1091,1030,396,330
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-03 11-15-00-05_cam9.jpg,1080,1920,820,768,618,560
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-03 11-15-00-05_cam9.jpg,1080,1920,831,797,512,450
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-03 11-15-00-05_cam9.jpg,1080,1920,1667,1645,741,716
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 10-30-00-05_cam8.jpg,1080,1920,693,651,712,668
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 10-30-00-05_cam8.jpg,1080,1920,957,913,484,416
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 10-30-00-05_cam8.jpg,1080,1920,1237,1190,312,268
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 10-30-00-05_cam8.jpg,1080,1920,845,805,737,700
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 10-30-00-05_cam8.jpg,1080,1920,530,495,271,239
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 10-30-00-05_cam8.jpg,1080,1920,1705,1666,1073,1026
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1545,1500,810,738
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1645,1592,678,624
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1496,1451,593,526
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,523,470,437,381
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1678,1640,1013,973
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1622,1574,781,742
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,932,869,1043,1014
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,479,439,111,69
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,185,152,921,886
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,140,81,318,224
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1674,1646,396,361
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,349,308,813,765
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1739,1709,471,424
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,49,34,389,362
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,1574,1517,665,620
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,1167,1124,179,138
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,714,668,1076,1007
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,1392,1338,695,639
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,1258,1210,1050,1006
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,566,521,733,678
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,1078,1011,1029,974
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,567,514,652,611
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,1281,1236,595,559
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,1108,1069,1072,1034
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,889,852,402,363
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,1361,1331,525,494
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,1413,1380,613,579
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,1506,1477,500,451
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,1518,1498,573,541
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,543,501,214,162
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,605,574,241,206
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,443,403,358,334
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,604,570,384,337
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,585,540,444,409
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,137,99,547,498
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,68,41,526,489
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,635,601,727,673
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,292,258,932,904
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,463,444,842,813
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,556,532,944,915
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,584,538,974,952
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,495,469,1020,999
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-05 14-00-00-05_cam4.jpg,1080,1920,1238,1212,923,882
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1845,1805,890,837
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1106,1057,1080,1048
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1169,1132,981,938
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1171,1154,740,724
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1184,1154,779,745
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1161,1128,741,710
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1128,1085,695,650
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1235,1206,617,590
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1043,1012,287,260
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,995,948,176,127
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,974,938,130,93
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,335,297,70,30
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1228,1186,871,824
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1808,1790,968,951
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1156,1103,240,206
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1138,1085,263,209
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-11 10-30-00-05_cam2.jpg,1080,1920,1715,1692,785,765
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,827,806,199,139
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,135,113,315,270
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,314,299,160,135
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,111,99,589,568
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,199,183,597,573
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,193,178,506,489
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,23,0,975,935
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,338,310,722,670
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,466,443,751,722
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,428,402,604,552
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,477,445,620,592
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,782,758,519,494
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1078,1048,331,297
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1305,1258,253,210
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1374,1350,190,157
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1487,1454,179,153
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1412,1389,191,156
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-05-08 14-00-00-05_cam2.jpg,1080,1920,1219,1196,155,127
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1417,1394,663,621
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1352,1321,559,520
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1308,1247,409,364
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1440,1412,549,514
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1428,1387,381,349
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1423,1388,345,312
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1745,1697,356,310
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1661,1635,464,438
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1701,1669,511,460
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1745,1684,779,724
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1651,1621,529,478
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1599,1558,638,600
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1634,1581,601,569
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1378,1334,521,469
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-03 11-15-00-05_cam9.jpg,1080,1920,1920,1898,797,762
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-03 11-15-00-05_cam9.jpg,1080,1920,531,486,1027,981
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-03 11-15-00-05_cam9.jpg,1080,1920,741,719,718,700
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-04-30 14-30-00-05_cam10.jpg,1440,2560,1994,1940,964,920
plastic,./river_data/river_cam_images/Grogol_Location_2_2018-04-30 14-30-00-05_cam7.jpg,1440,2560,2069,2036,1404,1339
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1221,1179,524,478
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1538,1479,228,172
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1781,1749,319,281
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,1292,1234,988,900
plastic,./river_data/river_cam_images/Grogol_Location_4_2018-05-04 13-00-00-05_cam8.jpg,1080,1920,908,875,255,216
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,405,355,307,259
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,1487,1411,1054,934
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,904,865,614,570
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,651,597,703,666
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,166,116,1051,1010
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,64,29,1036,1003
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,290,216,455,394
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,351,305,418,359
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,234,188,531,464
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,1688,1644,601,557
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-04 09-45-00-05_cam7.jpg,1080,1920,1739,1717,595,549
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-02 12-30-00-05_cam8.jpg,1080,1920,537,495,324,212
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-02 12-30-00-05_cam8.jpg,1080,1920,433,413,423,393
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-02 12-30-00-05_cam8.jpg,1080,1920,317,297,267,243
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-02 12-30-00-05_cam8.jpg,1080,1920,38,18,418,391
plastic,./river_data/river_cam_images/Grogol_Location_3_2018-05-02 12-30-00-05_cam8.jpg,1080,1920,572,544,636,617
